"irms_current","vrms_voltage","time"
"9.11","0.1063","2025-05-01 07:51:44"
"9.12","0.1064","2025-05-01 08:40:04"
"9.06","0.1057","2025-05-01 08:54:12"
"9.09","0.106","2025-05-01 08:40:25"
"9.05","0.1056","2025-05-01 08:48:55"
"9.05","0.1056","2025-05-01 08:53:08"
"9.07","0.1058","2025-05-01 08:51:23"
"9.07","0.1058","2025-05-01 08:41:08"
"9.09","0.106","2025-05-01 08:48:33"
"9.05","0.1056","2025-05-01 08:53:30"
"9.05","0.1056","2025-05-01 08:52:05"
"9.07","0.1059","2025-05-01 08:43:37"
"9.03","0.1054","2025-05-01 07:51:23"
"9.08","0.1059","2025-05-01 08:39:44"
"9.06","0.1057","2025-05-01 08:53:51"
"9.06","0.1057","2025-05-01 08:55:17"
"9.08","0.106","2025-05-01 08:50:20"
"9.07","0.1059","2025-05-01 08:44:41"
"9.08","0.106","2025-05-01 08:44:19"
"9.06","0.1057","2025-05-01 08:49:16"
"9.08","0.1059","2025-05-01 08:49:37"
"9.06","0.1057","2025-05-01 08:49:58"
"9.06","0.1057","2025-05-01 08:52:26"
"0","0","2025-04-30 00:04:55"
"0","0","2025-05-01 07:41:58"
"0","0","2025-05-01 07:49:35"
"9.05","0.1056","2025-05-01 08:15:27"
"9.01","0.1051","2025-05-01 08:20:16"
"9.07","0.1059","2025-05-01 08:37:59"
"9.04","0.1055","2025-05-01 08:54:55"
"9.07","0.1058","2025-05-01 08:50:40"
"0","0","2025-04-30 00:04:34"
"0","0","2025-04-30 00:08:20"
"0","0","2025-05-01 07:41:37"
"0","0","2025-05-01 07:49:13"
"9.07","0.1058","2025-05-01 08:15:06"
"9.01","0.1051","2025-05-01 08:19:55"
"9.07","0.1058","2025-05-01 08:37:39"
"9.04","0.1055","2025-05-01 08:55:38"
"9.06","0.1058","2025-05-01 08:52:47"
"0","0","2025-05-01 07:43:25"
"8.53","0.0995","2025-05-01 07:51:01"
"9.05","0.1056","2025-05-01 08:39:23"
"9.07","0.1058","2025-05-01 08:45:22"
"9.09","0.1061","2025-05-01 08:47:51"
"9.08","0.106","2025-05-01 08:46:05"
"9.06","0.1057","2025-05-01 08:45:44"
"9.09","0.106","2025-05-01 08:48:13"
"9.08","0.1059","2025-05-01 08:42:54"
"9.09","0.106","2025-05-01 08:47:30"
"9.06","0.1058","2025-05-01 08:41:29"
"9.04","0.1055","2025-05-01 08:54:34"
"0","0","2025-05-01 07:42:41"
"1.35","0.0158","2025-05-01 07:50:18"
"0","0","2025-05-01 08:20:58"
"9.06","0.1058","2025-05-01 08:38:41"
"9.07","0.1058","2025-05-01 08:51:01"
"0","0","2025-04-30 00:05:16"
"0","0","2025-05-01 07:42:20"
"0","0","2025-05-01 07:49:56"
"9.05","0.1056","2025-05-01 08:15:48"
"9.02","0.1052","2025-05-01 08:20:38"
"9.06","0.1057","2025-05-01 08:38:20"
"9.07","0.1059","2025-05-01 08:45:01"
"9.06","0.1057","2025-05-01 08:51:43"
"9.08","0.1059","2025-05-01 08:42:32"
"9.08","0.1059","2025-05-01 08:43:58"
"9.08","0.1059","2025-05-01 08:46:26"
"9.07","0.1059","2025-05-01 08:41:50"
"9.07","0.1059","2025-05-01 08:40:47"
"9.06","0.1057","2025-05-01 08:56:21"
"9.05","0.1055","2025-05-01 08:56:00"
"9.06","0.1057","2025-05-01 08:47:09"
"0","0","2025-05-01 07:43:03"
"6.48","0.0756","2025-05-01 07:50:40"
"9.07","0.1058","2025-05-01 08:39:02"
"9.08","0.1059","2025-05-01 08:46:47"
"9.08","0.1059","2025-05-01 08:42:11"
"9.07","0.1058","2025-05-01 08:43:16"
